Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2024admt,Sersic,4.82±0.86,--,30.7,--,0.86±0.05,--,0.1105,19.05±0.08,5.92±1.19,He
AT2024mvz,Sersic,2.51±0.12,--,28.4,--,0.88±0.04,--,0.08,18.83±0.02,2.89±0.41,H+He
AT2024qab,Sersic,3.55±0.15,--,66.4,--,0.40±0.03,--,0.1398,19.20±0.03,2.73±0.40,H+He
AT2024rny,Sersic,2.81±0.07,--,55.9,--,0.56±0.03,--,0.1055,19.44±0.01,0.51±0.15,H+He
AT2024ule,Sersic,5.87±0.26,--,41.4,--,0.75±0.03,--,0.112,18.91±0.03,1.75±0.11,H+He
AT2024vip,Sersic,5.27±0.17,--,67.7,--,0.38±0.01,--,0.089,17.88±0.02,2.68±0.15,H+He
AT2024wsd,Sersic,6.33±0.55,--,55.9,--,0.56±0.03,--,0.063,18.52±0.05,3.06±0.35,H+He
ASASSN14ae,Sersic,10.30±0.14,--,74.9,--,0.26±0.00,--,0.0436,16.62±0.01,2.78±0.05,H+He
ASASSN14li,Sersic+exp,1.56±0.01,5.63±0.05,74.9,29.5,0.26±0.01,0.87±0.01,0.0206,15.63±0.01,2.15±0.07,H+He
ASASSN15oi,Sersic,8.77±0.15,--,60.0,--,0.50±0.01,--,0.0484,16.93±0.01,1.87±0.04,H+He
iPTF15af,Sersic,5.51±0.18,--,33.9,--,0.83±0.02,--,0.079,18.04±0.02,2.71±0.14,H+He
iPTF16axa,Sersic,6.51±0.22,--,53.8,--,0.59±0.02,--,0.108,18.68±0.02,1.92±0.11,H+He
LSQ12dyw,Sersic,1.29±0.11,--,38.7,--,0.78±0.06,--,0.09,18.81±0.03,4.09±1.19,H+He
PTF09djl,Sersic,1.24±0.09,--,35.9,--,0.81±0.09,--,0.184,19.99±0.02,1.55±0.66,H
PTF09ge,Sersic+exp,0.95±0.11,6.92±0.11,63.3,60.7,0.45±0.05,0.49±0.01,0.064,17.44±0.06,5.96±1.53,H+He
AT2019cho,Sersic,4.52±0.36,--,71.9,--,0.31±0.06,--,0.193,20.40±0.06,2.14±0.59,H+He
AT2019mha,Sersic,3.59±0.23,--,57.3,--,0.54±0.04,--,0.148,19.23±0.04,2.53±0.44,H+He
AT2020vdq,Sersic,1.16±0.05,--,68.9,--,0.36±0.04,--,0.044,18.35±0.01,4.07±0.64,H+He
AT2021qth,Sersic,2.39±0.13,--,37.8,--,0.79±0.05,--,0.0805,19.46±0.03,1.77±0.40,H+He
AT2022dbl,Sersic+exp,5.25±0.36,17.19±0.29,21.6,39.6,0.93±0.01,0.77±0.01,0.0284,15.74±0.06,2.82±0.17,H+He
AT2022dsb,Sersic+exp,1.72±0.02,32.38±0.22,29.5,67.0,0.87±0.01,0.39±0.00,0.023,14.80±0.01,2.48±0.09,H+He
AT2022gdw,Sersic,8.87±0.74,--,37.8,--,0.79±0.03,--,0.105,17.98±0.05,3.14±0.25,He
AT2022gri,Sersic+exp+ps,7.43±0.04,12.63±0.29,67.0,60.7,0.39±0.00,0.49±0.00,0.028,15.58±0.03,0.62±0.02,H+He
AT2023cvb,Sersic+exp,7.46±0.69,8.50±0.06,86.6,47.2,0.06±0.02,0.68±0.01,0.071,16.65±0.08,3.08±0.33,H
AT2023xen,Sersic,7.13±0.11,--,32.9,--,0.84±0.01,--,0.1335,17.94±0.01,1.19±0.03,H+He
AT2024aepd,Sersic,5.48±0.23,--,52.4,--,0.61±0.02,--,0.0835,18.24±0.02,3.13±0.17,H+He
AT2024as,Sersic,1.83±0.05,--,29.5,--,0.87±0.02,--,0.13,18.32±0.02,5.34±0.43,H
AT2024bgz,Sersic+exp+psf,17.14±0.11,8.54±0.24,47.2,50.9,0.68±0.01,0.63±0.02,0.0585,15.96±0.11,0.31±0.01,H+He
AT2024lhc,Sersic,3.43±0.12,--,0.0,--,1.00±0.03,--,0.2045,18.92±0.02,1.84±0.17,--
AT2024pvu,Sersic,6.28±0.10,--,58.0,--,0.53±0.00,--,0.048,16.14±0.01,5.48±0.09,--
AT2024ymu,Sersic,11.23±0.77,--,49.5,--,0.65±0.01,--,0.12,17.26±0.03,4.86±0.25,--
AT2017gge,Sersic+exp,1.01±0.17,20.00±0.18,48.7,58.0,0.66±0.10,0.53±0.00,0.066,16.38±0.01,1.09±0.84,H
AT2023lli,Sersic+psf,14.72±0.16,--,55.9,--,0.56±0.00,--,0.036,16.23±0.01,1.39±0.04,H
AT2022dyt,Sersic + exp,13.77±0.09,2.84±0.04,50.9,74.3,0.63±0.00,0.27±0.01,0.072,16.52±0.03,0.50±0.01,H
AT2019qiz,2Sersic+exp,5.48±0.08,32.08±0.19,42.3,32.9,0.74±0.01,0.84±0.00,0.151,14.38±0.01,1.63±0.04,H+He
