Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2018mli,Sersic+exp,2.68±0.63,10.79±0.51,8.1,19.9,0.99±0.02,0.94±0.04,0.076,17.31±0.27,4.55±0.95,H+He
AT2018bsi,Sersic+exp,4.72±0.18,15.88±0.28,47.2,45.6,0.68±0.00,0.70±0.00,0.051,15.17±0.04,1.93±0.08,H+He
AT2018zr,Sersic,7.24±0.12,--,46.4,--,0.69±0.01,--,0.071,17.58±0.01,1.78±0.04,H
AT2017eqx,Sersic,1.97±0.07,--,58.7,--,0.52±0.03,--,0.1089,19.87±0.01,0.99±0.22,He
AT2024ymu,Sersic,12.89±0.46,--,49.5,--,0.65±0.01,--,0.12,16.49±0.02,5.66±0.12,--
AT2024aepd,Sersic+exp,1.46±0.18,5.46±0.15,48.7,64.5,0.66±0.05,0.43±0.02,0.0835,17.80±0.09,3.97±0.82,H+He
AT2023cvb,Sersic+exp,5.87±1.06,8.36±0.06,82.5,46.4,0.13±0.01,0.69±0.01,0.071,16.18±0.10,5.06±0.50,H
AT2023xen,Sersic,7.36±0.10,--,36.9,--,0.80±0.01,--,0.1335,17.57±0.01,1.30±0.03,H+He
AT2022gdw,Sersic,6.49±0.32,--,25.8,--,0.90±0.02,--,0.105,17.73±0.03,3.36±0.16,He
AT2021uvz,Sersic,1.08±0.07,--,23.1,--,0.92±0.05,--,0.176,19.19±0.04,5.10±1.07,H+He
AT2021axu,Sersic,1.61±0.10,--,36.9,--,0.80±0.05,--,0.192,19.29±0.04,5.06±0.87,H+He
AT2020ysg,Sersic,5.33±0.78,--,68.9,--,0.36±0.04,--,0.277,19.34±0.08,3.77±0.69,--
AT2020afhd,Sersic+exp,3.34±0.29,11.31±0.06,0.0,33.9,1.00±0.01,0.83±0.00,0.027,15.37±0.06,3.40±0.24,H+He
AT2020mbq,Sersic,2.19±0.09,--,27.1,--,0.89±0.04,--,0.093,19.34±0.03,3.05±0.37,H
AT2019mha,Sersic,5.69±0.56,--,71.3,--,0.32±0.02,--,0.148,18.40±0.04,5.69±0.63,H+He
AT2019cho,Sersic,8.34±1.49,--,69.5,--,0.35±0.03,--,0.193,19.30±0.09,4.77±0.81,H+He
AT2019dsg,Sersic+exp,8.16±0.21,16.50±0.36,51.7,37.8,0.62±0.00,0.79±0.02,0.0512,15.72±0.04,3.62±0.05,H+He
AT2019vcb,Sersic,1.87±0.06,--,32.9,--,0.84±0.02,--,0.089,18.13±0.02,5.88±0.47,H+He
